ax,ay,az,g1,g2,g3
85,29,4189,765,-620,529
67,32,4169,761,-617,523
44,44,4149,756,-608,512
-364,485,4109,1,-40,-36
-365,482,4109,1,-41,-38
-363,481,4108,1,-43,-39
-356,481,4112,0,-40,-35
-359,481,4109,0,-42,-37
-364,481,4113,0,-41,-38
-356,477,4108,1,-39,-36
-357,476,4105,1,-41,-38
-358,480,4107,0,-41,-38
-360,477,4112,1,-40,-37
-359,478,4111,1,-43,-38
-356,477,4108,1,-39,-36
-361,478,4110,0,-40,-37
-360,477,4108,0,-41,-37
-358,476,4110,2,-40,-36
-369,475,4107,0,-42,-37
-372,477,4109,1,-40,-35
-372,476,4114,0,-42,-36
-370,475,4101,1,-41,-36
-369,475,4103,0,-42,-37
-369,475,4107,0,-42,-37
-371,480,4108,1,-43,-35
-375,477,4108,-1,-41,-38
-375,478,4112,0,-40,-36
-368,488,4108,0,-40,-36
-368,488,4109,1,-39,-35
-368,482,4107,1,-39,-36
-374,486,4112,-1,-41,-36
-368,490,4108,-1,-41,-36
-368,488,4108,0,-40,-36
-376,481,4117,1,-40,-36
-374,481,4115,-1,-40,-36
-373,482,4114,-1,-41,-38
-364,492,4109,1,-40,-35
-364,491,4108,-1,-40,-37
-364,492,4109,0,-40,-35
-368,489,4108,0,-40,-36
-369,490,4108,0,-42,-38
-371,486,4109,0,-42,-39
-369,488,4106,0,-41,-38
-363,488,4109,0,-43,-35
-367,488,4108,0,-42,-38
-380,483,4109,0,-41,-38
-378,489,4111,-1,-41,-38
-369,488,4106,0,-41,-38
-373,478,4106,0,-42,-38
-377,481,4107,0,-41,-39
-378,484,4108,2,-40,-40
-375,477,4112,0,-41,-39
-371,477,4112,0,-39,-39
-374,476,4109,1,-42,-37
-375,477,4116,0,-43,-35
-379,479,4118,-1,-42,-39
-378,478,4115,-2,-40,-39
-359,480,4112,0,-39,-36
-360,482,4109,1,-42,-38
-364,480,4109,0,-43,-38
-363,477,4113,0,-40,-36
-359,475,4110,2,-43,-37
-357,478,4112,0,-42,-36
-359,481,4113,0,-39,-36
-358,482,4112,0,-41,-37
-360,481,4112,0,-39,-35
-359,476,4112,0,-40,-35
-355,476,4110,0,-40,-37
-353,477,4106,0,-41,-38
-362,483,4111,1,-41,-37
-362,478,4111,1,-42,-36
-365,479,4116,-1,-41,-38
-360,481,4108,1,-40,-35
-362,480,4106,1,-40,-36
-363,484,4108,0,-40,-36
-375,476,4108,0,-40,-35
-376,477,4111,1,-42,-38
-371,480,4112,0,-40,-37
-375,471,4106,0,-40,-36
-374,472,4106,1,-38,-36
-368,476,4104,1,-36,-36
-373,480,4108,0,-38,-36
-372,479,4107,-1,-40,-35
-371,478,4108,0,-40,-35
-371,483,4108,0,-39,-36
-368,484,4109,1,-40,-35
-370,481,4107,1,-40,-37
-376,485,4112,0,-41,-37
-376,485,4112,0,-40,-36
-375,486,4112,0,-41,-38
-372,490,4108,0,-40,-36
-368,493,4105,0,-40,-35
-369,491,4105,1,-38,-35
-371,497,4109,0,-40,-36
-377,493,4113,1,-40,-37
-376,489,4112,0,-42,-38
-377,490,4100,-1,-41,-38
-372,495,4100,0,-42,-38
-371,497,4109,0,-40,-36
-383,489,4111,0,-41,-37
-381,494,4105,1,-40,-37
-380,497,4100,0,-39,-35
-400,505,4109,1,-39,-35
-388,500,4109,1,-40,-36
-387,495,4109,0,-42,-36
-320,474,4099,8,-31,-29
-340,484,4097,13,-32,-24
-364,490,4101,10,-33,-25
-380,493,4113,0,-31,-43
-377,496,4100,6,-27,-42
-364,484,4086,2,-30,-42
-385,493,4113,2,-36,-41
-383,484,4117,1,-36,-42
-370,478,4118,-2,-36,-44
-334,506,4103,4,-36,-50
-357,512,4109,2,-37,-42
-385,493,4113,2,-36,-41
-359,452,4143,5,-49,-76
-386,478,4098,5,-44,-71
-425,495,4106,7,-35,-59
-351,408,4101,5,-44,-64
-350,414,4102,10,-46,-70
-344,433,4117,16,-47,-72
-375,444,4140,13,-28,-52
-381,408,4125,7,-33,-49
-374,368,4052,0,-41,-49
-380,471,4115,2,-47,-49
-360,452,4105,-8,-67,-60
